Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.9099999999999999,symmetric,0.4824916243769307
100% Corpus,5,symmetric,0.01,0.4525388471068535
100% Corpus,5,symmetric,0.31,0.4445697703490564
100% Corpus,5,symmetric,0.61,0.43081291989553605
100% Corpus,5,symmetric,0.9099999999999999,0.41112692695410546
100% Corpus,5,symmetric,symmetric,0.43480321785461157
100% Corpus,5,asymmetric,0.01,0.4348982514644971
100% Corpus,5,asymmetric,0.31,0.4725981069391879
100% Corpus,5,asymmetric,0.61,0.44379428401400584
100% Corpus,5,asymmetric,0.9099999999999999,0.4499564388239662
100% Corpus,5,asymmetric,symmetric,0.4166870076387837
100% Corpus,6,0.01,0.01,0.4194868157214284
100% Corpus,6,0.01,0.31,0.4237181525456415
100% Corpus,6,0.01,0.61,0.41305381054667273
100% Corpus,6,0.01,0.9099999999999999,0.440422260459903
100% Corpus,6,0.01,symmetric,0.3997007439272003
100% Corpus,6,0.31,0.01,0.4679292252672076
100% Corpus,6,0.31,0.31,0.42568221864225614
100% Corpus,6,0.31,0.61,0.3770529586727795
100% Corpus,6,0.31,0.9099999999999999,0.42961607709885613
100% Corpus,6,0.31,symmetric,0.4622652628940222
100% Corpus,6,0.61,0.01,0.5141592240945524
100% Corpus,6,0.61,0.31,0.47308188946105384
100% Corpus,6,0.61,0.61,0.4839295218383233
100% Corpus,6,0.61,0.9099999999999999,0.45256492600341214
100% Corpus,6,0.61,symmetric,0.47657774041604933
100% Corpus,6,0.9099999999999999,0.01,0.48628445656413044
100% Corpus,6,0.9099999999999999,0.31,0.46272726935723685
100% Corpus,6,0.9099999999999999,0.61,0.4911236413372171
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.48775554238400204
100% Corpus,6,0.9099999999999999,symmetric,0.473085083202298
100% Corpus,6,symmetric,0.01,0.44510833907419234
100% Corpus,6,symmetric,0.31,0.3823241171084437
100% Corpus,6,symmetric,0.61,0.4221921088518894
100% Corpus,6,symmetric,0.9099999999999999,0.4299342480276975
100% Corpus,6,symmetric,symmetric,0.41362140919907014
100% Corpus,6,asymmetric,0.01,0.40724814114039004
100% Corpus,6,asymmetric,0.31,0.42882254860376134
100% Corpus,6,asymmetric,0.61,0.49845604011338834
100% Corpus,6,asymmetric,0.9099999999999999,0.44714970125730985
100% Corpus,6,asymmetric,symmetric,0.4001335797925371
100% Corpus,7,0.01,0.01,0.39496239234201036
100% Corpus,7,0.01,0.31,0.3994468302433954
100% Corpus,7,0.01,0.61,0.38132937668856953
100% Corpus,7,0.01,0.9099999999999999,0.38901315116793206
100% Corpus,7,0.01,symmetric,0.41469450627578375
100% Corpus,7,0.31,0.01,0.42176784428204767
100% Corpus,7,0.31,0.31,0.42302028345771264
100% Corpus,7,0.31,0.61,0.4314828355007619
100% Corpus,7,0.31,0.9099999999999999,0.4282372803289996
100% Corpus,7,0.31,symmetric,0.4258103135297938
100% Corpus,7,0.61,0.01,0.481187847711361
100% Corpus,7,0.61,0.31,0.4655776928628746
100% Corpus,7,0.61,0.61,0.4558956209249206
100% Corpus,7,0.61,0.9099999999999999,0.46860371459814915
